Price,Bedrooms,Bathrooms,Square Footage,Latitude,Longitude,Acreage,Garage,Parking,Fireplace,Waterfront,Pool,Garden,Balcony,log_price
6980000.0,6.0,6.0,6129.0,49.239222,-123.1429856,0.27,Yes,No,Yes,No,No,No,No,15.758559618005021
2998000.0,5.0,3.0,2865.0,49.255835,-123.1878412,0.09,Yes,No,Yes,No,No,No,No,14.913456291200328
3998000.0,4.0,5.0,3246.0,49.2425855,-123.1769523,0.1,Yes,No,No,No,No,No,No,15.201305044167514
1068000.0,2.0,2.0,967.0,49.2793873,-123.1085456,0.0,Yes,Yes,No,No,No,No,No,13.881299234831427
1823999.0,5.0,3.0,2019.0,49.2598832,-123.0791624,0.09,Yes,No,Yes,No,No,No,No,14.416542449616413
1128000.0,2.0,2.0,989.0,49.277379,-123.1324212,0.0,Yes,Yes,Yes,No,No,No,No,13.93595759756457
1068900.0,2.0,2.0,897.0,49.2762666,-123.1289805,0.0,Yes,Yes,No,No,No,No,No,13.88214157580281
3200000.0,3.0,2.0,1500.0,49.2451977,-123.0537775,0.08,Yes,Yes,Yes,No,No,No,No,14.978661680269907
799900.0,2.0,2.0,831.0,49.2814536,-123.0634082,0.0,Yes,Yes,No,No,No,No,No,13.592243248992402
959900.0,1.0,1.0,748.0,49.2714233,-123.1012924,0.0,Yes,Yes,No,No,No,No,No,13.774585433126271
2888000.0,5.0,3.0,2279.0,49.2630675,-123.20438,0.09,Yes,No,No,No,No,No,No,14.876075125255182
1968000.0,6.0,3.0,2420.0,49.2387654,-123.0771996,0.08,No,No,No,No,No,No,No,14.492528864724289
2249900.0,4.0,3.0,1668.0,49.2480723,-123.1173059,0.0,Yes,No,No,No,No,No,No,14.626396773212575
1680000.0,3.0,3.0,1130.0,49.2628571,-123.2352416,0.0,Yes,No,No,No,No,No,No,14.33430494661736
1999900.0,3.0,3.0,1453.0,49.2480828,-123.1180422,0.0,Yes,No,No,No,No,No,No,14.508608237299054
2299900.0,4.0,3.0,1668.0,49.2480815,-123.1179474,0.0,Yes,No,No,No,No,No,No,14.64837663649472
699000.0,1.0,1.0,767.0,49.2901214,-123.139318,0.0,Yes,No,Yes,No,No,No,No,13.457407451830088
605000.0,1.0,1.0,485.0,49.2832148,-123.1165335,0.0,Yes,Yes,No,No,No,No,No,13.312985389904174
718000.0,1.0,1.0,721.0,49.233954,-123.1559999,0.0,Yes,No,Yes,No,No,No,No,13.484226240787052
920000.0,2.0,2.0,1033.0,49.2193131,-123.0385564,0.0,Yes,Yes,Yes,No,No,No,No,13.732130035981154
1599900.0,4.0,2.0,1914.0,49.2326103,-123.0616247,0.07,Yes,No,Yes,No,No,No,No,14.285452310295673
524800.0,1.0,1.0,575.0,49.2799278,-123.1066048,0.0,Yes,No,Yes,No,No,No,No,13.170774422098006
2699000.0,6.0,5.0,2264.0,49.2776488,-123.0288189,0.09,Yes,No,Yes,No,No,No,No,14.808392262507668
729000.0,1.0,1.0,555.0,49.2736185,-123.1281195,0.0,Yes,Yes,No,No,No,No,No,13.499430382731967
1798800.0,3.0,2.0,1225.0,49.2880539,-123.1230949,0.0,Yes,No,Yes,No,No,No,No,14.402630889804708
1438800.0,4.0,2.0,1138.0,49.2588542,-123.0655831,0.0,Yes,No,Yes,No,No,No,No,14.179320685826996
1399900.0,3.0,3.0,1456.0,49.2518068,-123.077442,0.0,Yes,Yes,No,No,No,No,No,14.1519120777994
1288000.0,3.0,3.0,1172.0,49.2090717,-123.1272117,0.0,Yes,No,Yes,No,No,No,No,14.06860196204365
468000.0,1.0,1.0,620.0,49.2072293,-123.1273,0.0,Yes,Yes,No,No,No,No,No,13.056225711649638
1228000.0,2.0,2.0,884.0,49.2805446,-123.1177465,0.0,Yes,Yes,No,No,No,No,No,14.02089820202114
